"lookup_key","pkgNr","pkgCode","DAP","NPK","Urea"
"E29.57N-1.61",1,"red",166,227,269
"E29.57N-1.6",1,"red",166,227,269
"E29.46N-1.76",1,"red",166,227,269
"E29.23N-2.61",1,"red",166,227,269
"E29.23N-2.58",1,"red",166,227,269
"E29.28N-2.34",1,"red",166,227,269
"E29.34N-2.34",1,"red",166,227,269
"E29.39N-2.31",1,"red",166,227,269
"E29.64N-1.48",1,"red",166,227,269
"E30.17N-1.73",1,"red",166,227,269
"E29.5N-1.55",1,"red",166,227,269
"E30.09N-1.66",1,"red",166,227,269
"E30.12N-1.62",1,"red",166,227,269
"E30.17N-1.62",1,"red",166,227,269
"E30.14N-1.6",1,"red",166,227,269
"E29.81N-1.53",1,"red",166,227,269
"E29.81N-1.52",1,"red",166,227,269
"E29.26N-2.6",1,"red",166,227,269
"E29.38N-2.59",1,"red",166,227,269
"E29.42N-2.77",1,"red",166,227,269
"E29.42N-2.75",1,"red",166,227,269
"E29.4N-2.74",1,"red",166,227,269
"E29.41N-2.74",1,"red",166,227,269
"E29.41N-2.73",1,"red",166,227,269
"E29.42N-2.67",1,"red",166,227,269
"E29.36N-1.9",1,"red",166,227,269
"E29.37N-1.84",1,"red",166,227,269
"E29.49N-1.82",1,"red",166,227,269
"E29.6N-1.67",1,"red",166,227,269
"E29.35N-2.26",1,"red",166,227,269
"E29.3N-2.3",1,"red",166,227,269
"E29.34N-2.21",1,"red",166,227,269
"E29.45N-2.25",1,"red",166,227,269
"E29.45N-2.44",1,"red",166,227,269
"E29.48N-2.41",1,"red",166,227,269
"E29.45N-2.2",1,"red",166,227,269
"E29.47N-2.29",1,"red",166,227,269
"E29.48N-2.29",1,"red",166,227,269
"E29.58N-1.64",1,"red",166,227,269
"E29.3N-2.27",1,"red",166,227,269
"E29.47N-1.78",1,"red",166,227,269
"E29.46N-1.77",1,"red",166,227,269
"E29.37N-2.59",1,"red",166,227,269
"E29.39N-2.72",1,"red",166,227,269
"E29.44N-1.71",1,"red",166,227,269
"E29.45N-1.71",1,"red",166,227,269
"E30.18N-1.74",1,"red",166,227,269
"E29.48N-1.7",1,"red",166,227,269
"E29.43N-2.2",1,"red",166,227,269
"E29.53N-1.47",1,"red",166,227,269
"E29.54N-1.45",1,"red",166,227,269
"E29.6N-1.44",1,"red",166,227,269
"E29.67N-1.41",1,"red",166,227,269
"E30.02N-1.57",1,"red",166,227,269
"E29.41N-2.64",1,"red",166,227,269
"E29.46N-1.78",1,"red",166,227,269
"E29.34N-2.35",1,"red",166,227,269
"E29.14N-2.47",1,"red",166,227,269
"E29.46N-2.02",1,"red",166,227,269
"E29.36N-2.19",1,"red",166,227,269
"E29.35N-2.22",1,"red",166,227,269
"E29.45N-1.7",1,"red",166,227,269
"E29.5N-2.02",1,"red",166,227,269
"E29.52N-1.9",1,"red",166,227,269
"E29.5N-1.88",1,"red",166,227,269
"E29.43N-2.66",1,"red",166,227,269
"E29.42N-2.65",1,"red",166,227,269
"E29.47N-1.68",1,"red",166,227,269
"E29.34N-2.28",1,"red",166,227,269
"E29.37N-2.28",1,"red",166,227,269
"E29.48N-1.85",1,"red",166,227,269
"E29.5N-1.85",1,"red",166,227,269
"E29.46N-2.79",1,"red",166,227,269
"E29.5N-1.84",1,"red",166,227,269
"E29.38N-2.15",1,"red",166,227,269
"E29.56N-2.05",1,"red",166,227,269
"E29.51N-2.41",1,"red",166,227,269
"E29.38N-2.35",1,"red",166,227,269
"E29.44N-2.28",1,"red",166,227,269
"E29.47N-1.79",1,"red",166,227,269
"E29.39N-2.29",1,"red",166,227,269
"E29.58N-1.88",1,"red",166,227,269
"E29.42N-1.79",1,"red",166,227,269
"E30.01N-1.53",1,"red",166,227,269
"E29.36N-2.66",1,"red",166,227,269
"E29.54N-2.64",1,"red",166,227,269
"E29.45N-1.69",1,"red",166,227,269
"E29.44N-2.59",1,"red",166,227,269
"E29.48N-1.83",1,"red",166,227,269
"E29.44N-1.69",1,"red",166,227,269
"E29.34N-2.43",1,"red",166,227,269
"E30N-1.58",1,"red",166,227,269
"E30N-1.57",1,"red",166,227,269
"E29.45N-1.91",1,"red",166,227,269
"E29.43N-2.79",1,"red",166,227,269
"E29.3N-2.41",1,"red",166,227,269
"E29.49N-1.86",1,"red",166,227,269
"E29.42N-2.64",1,"red",166,227,269
"E29.53N-1.78",1,"red",166,227,269
"E29.5N-1.98",1,"red",166,227,269
"E29.51N-1.95",1,"red",166,227,269
"E29.49N-1.87",1,"red",166,227,269
"E29.43N-2.65",1,"red",166,227,269
"E29.52N-1.79",1,"red",166,227,269
"E29.55N-2.52",1,"red",166,227,269
"E29.28N-2.4",1,"red",166,227,269
"E29.54N-2.65",1,"red",166,227,269
"E29.51N-1.94",1,"red",166,227,269
"E29.53N-2.52",1,"red",166,227,269
"E29.58N-1.78",1,"red",166,227,269
"E29.42N-2.32",1,"red",166,227,269
"E29.57N-2.52",1,"red",166,227,269
"E29.54N-2.52",1,"red",166,227,269
"E29.75N-1.57",2,"yellow",109,77,158
"E29.39N-2.34",2,"yellow",109,77,158
"E30.02N-1.65",2,"yellow",109,77,158
"E29.41N-1.56",2,"yellow",109,77,158
"E29.36N-2.32",2,"yellow",109,77,158
"E29.47N-1.6",2,"yellow",109,77,158
"E29.37N-1.61",2,"yellow",109,77,158
"E29.95N-1.5",2,"yellow",109,77,158
"E29.27N-2.32",2,"yellow",109,77,158
"E29.59N-1.81",2,"yellow",109,77,158
